PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Wang, Q; Kim, MK				Wang, Qian; Kim, Min-Koo			Applications of 3D point cloud data in the construction industry: A fifteen-year review from 2004 to 2018	ADVANCED ENGINEERING INFORMATICS																	Wang, Qian/N-8410-2017; Kim, Minkoo/O-4727-2017	Wang, Qian/0000-0003-3175-334X; Kim, Minkoo/0000-0003-2134-0031												1474-0346	1873-5320				JAN	2019	39						306	319		10.1016/j.aei.2019.02.007								WOS:000461408100024						
J	Zhong, BT; Gan, C; Luo, HB; Xing, XJ				Zhong, Botao; Gan, Chen; Luo, Hanbin; Xing, Xuejiao			Ontology-based framework for building environmental monitoring and compliance checking under BIM environment	BUILDING AND ENVIRONMENT																	Hanbin, Luo/AAH-7441-2019; li, chengqian/AAH-7343-2019; zhong, botao/AAH-3781-2019													0360-1323	1873-684X				AUG 15	2018	141						127	142		10.1016/j.buildenv.2018.05.046								WOS:000440529400012						
J	Troncoso-Pastoriza, F; Eguia-Oller, P; Diaz-Redondo, RP; Granada-Alvarez, E				Troncoso-Pastoriza, Francisco; Eguia-Oller, Pablo; Diaz-Redondo, Rebeca P.; Granada-Alvarez, Enrique			Generation of BIM data based on the automatic detection, identification and localization of lamps in buildings	SUSTAINABLE CITIES AND SOCIETY																	Vilas, Ana Fernández/L-2055-2014; Granada, Enrique/H-4184-2015; Troncoso-Pastoriza, Francisco/L-7587-2019; Diaz Redondo, Rebeca P./L-3108-2014	Vilas, Ana Fernández/0000-0003-1047-2143; Granada, Enrique/0000-0002-1689-9992; Troncoso-Pastoriza, Francisco/0000-0001-8336-6777; Diaz Redondo, Rebeca P./0000-0002-2367-2219; Eguia, Pablo/0000-0001-8616-9509												2210-6707	2210-6715				JAN	2018	36						59	70		10.1016/j.scs.2017.10.015								WOS:000415900000006						
C	Macchi, M; Roda, I; Negri, E; Fumagalli, L				Macchi, Marco; Roda, Irene; Negri, Elisa; Fumagalli, Luca			Exploring the role of Digital Twin for Asset Lifecycle Management	IFAC PAPERSONLINE					16th IFAC Symposium on Information Control Problems in Manufacturing (INCOM)	JUN 11-13, 2018	Bergamo, ITALY	Int Federat Automat Control, Coordinating Comm 5 on Mfg & Logist Syst, Int Federat Automat Control, Tech Comm 5 1 Mfg Plant Control, Int Federat Automat Control, Tech Comm 5 2 Mfg Modelling Management & Control, Int Federat Automat Control, Tech Comm 5 3 Enterprise Integrat & Networking, Int Federat Automat Control, Tech Comm 5 4 Large Scale Complex Syst, Int Federat Automat Control, Tech Comm 1 3 Discrete Event & Hybrid Syst, Int Federat Automat Control, Tech Comm 4 2 Mechatron Syst, Int Federat Automat Control, Tech Comm 4 3 Robot, Int Federat Automat Control, Tech Comm 9 2 Social Impact Automat, IEEE, Italy Sect, IEEE, Italy Sect Instrumentat & Measurement Chapter, IEEE, Italy Sect Reliabil Chapter, IEEE, Italy Sect Technol Management Chapter, IEEE, Italy Sect Control Syst Chapter, Int Federat Informat Proc, Int Federat Operat Res Soc, Italian Assoc Ind Syst Engn Professors, GDR MACS Natl Council Sci Res, Res Grp Modelling Anal & Control Dynam Syst, Assoc Italiana Informatica Calcolo Automatico									Negri, Elisa/AAE-7638-2020	Negri, Elisa/0000-0002-0006-7497												2405-8963						2018	51	11					790	795		10.1016/j.ifacol.2018.08.415								WOS:000445651000132						
J	Lu, QC; Lee, S				Lu, Qiuchen; Lee, Sanghoon			Image-Based Technologies for Constructing As-Is Building Information Models for Existing Buildings	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																		/0000-0001-9482-1472												0887-3801	1943-5487				JUL	2017	31	4							04017005	10.1061/(ASCE)CP.1943-5487.0000652								WOS:000399894800007						
C	Wang, C; Cho, YK		Chong, WO; Chang, J; Parrish, K; Berardi, U		Wang, Chao; Cho, Yong K.			Performance Evaluation of Automatically Generated BIM from Laser Scanner Data for Sustainability Analyses	DEFINING THE FUTURE OF SUSTAINABILITY AND RESILIENCE IN DESIGN, ENGINEERING AND CONSTRUCTION	Procedia Engineering				Defining the Future of Sustainability and Resilience in Design, Engineering and Construction	MAY 10-13, 2015	Chicago, CA	ASCE, ICSDEC																						1877-7058						2015	118						918	925		10.1016/j.proeng.2015.08.531								WOS:000380430700106						
J	Xiong, XH; Adan, A; Akinci, B; Huber, D				Xiong, Xuehan; Adan, Antonio; Akinci, Burcu; Huber, Daniel			Automatic creation of semantically rich 3D building models from laser scanner data	AUTOMATION IN CONSTRUCTION																	Adán, Antonio/A-1153-2012	Adán, Antonio/0000-0002-0370-9651												0926-5805	1872-7891				MAY	2013	31						325	337		10.1016/j.autcon.2012.10.006								WOS:000315933100031						
J	Dibley, M; Li, HJ; Rezgui, Y; Miles, J				Dibley, Michael; Li, Haijiang; Rezgui, Yacine; Miles, John			An ontology framework for intelligent sensor-based building monitoring	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020	Rezgui, Yacine/0000-0002-5711-8400; Li, Haijiang/0000-0001-6326-8133												0926-5805	1872-7891				DEC	2012	28						1	14		10.1016/j.autcon.2012.05.018								WOS:000309642700001						
J	Pauwels, P; Van Deursen, D; Verstraeten, R; De Roo, J; De Meyer, R; Van de Walle, R; Van Campenhout, J				Pauwels, P.; Van Deursen, D.; Verstraeten, R.; De Roo, J.; De Meyer, R.; Van de Walle, R.; Van Campenhout, J.			A semantic rule checking environment for building performance checking	AUTOMATION IN CONSTRUCTION																	Pauwels, Pieter/I-8256-2015	Pauwels, Pieter/0000-0001-8020-4609												0926-5805	1872-7891				AUG	2011	20	5					506	518		10.1016/j.autcon.2010.11.017								WOS:000292624100002						
C	Anil, EB; Tang, PB; Akinci, B; Huber, D		Beraldin, JA; Cheok, GS; McCarthy, MB; NeuschaeferRube, U; Baskurt, AM; McDowall, IE; Dolinsky, M		Anil, Engin Burak; Tang, Pingbo; Akinci, Burcu; Huber, Daniel			Assessment of Quality of As-is Building Information Models Generated from Point Clouds Using Deviation Analysis	THREE-DIMENSIONAL IMAGING, INTERACTION, AND MEASUREMENT	Proceedings of SPIE				Conference on the Three-Dimensional Imaging, Interaction, and Measurement	JAN 24-27, 2011	San Francisco, CA	Soc Imaging Sci & Technol (IS&T), SPIE									Tang, Pingbo/I-9534-2012	Tang, Pingbo/0000-0002-4910-1326												0277-786X	1996-756X	978-0-81948-401-7				2011	7864								78640F	10.1117/12.876554								WOS:000291691300014						
J	Tang, PB; Huber, D; Akinci, B; Lipman, R; Lytle, A				Tang, Pingbo; Huber, Daniel; Akinci, Burcu; Lipman, Robert; Lytle, Alan			Automatic reconstruction of as-built building information models from laser-scanned point clouds: A review of related techniques	AUTOMATION IN CONSTRUCTION																	Tang, Pingbo/I-7649-2012; Tang, Pingbo/I-9534-2012	Tang, Pingbo/0000-0001-9048-1327; Tang, Pingbo/0000-0002-4910-1326												0926-5805	1872-7891				NOV	2010	19	7					829	843		10.1016/j.autcon.2010.06.007								WOS:000283388600002						
J	Pu, S; Vosselman, G				Pu, Shi; Vosselman, George			Knowledge based reconstruction of building models from terrestrial laser scanning data	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Pu, Shi/A-4049-2010; Vosselman, George/D-3985-2009	Vosselman, George/0000-0001-8813-8028												0924-2716	1872-8235				NOV	2009	64	6					575	584		10.1016/j.isprsjprs.2009.04.001								WOS:000272761000007						
J	Richards, D; Simoff, SJ				Richards, D; Simoff, SJ			Design ontology in context - a situated cognition approach to conceptual modelling	ARTIFICIAL INTELLIGENCE IN ENGINEERING																		Richards, Deborah/0000-0002-7363-1511												0954-1810					APR	2001	15	2					121	136		10.1016/S0954-1810(01)00010-3								WOS:000171354600005						
