PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Brunelli, A; de Silva, F; Piro, A; Parisi, F; Sica, S; Silvestri, F; Cattari, S				Brunelli, A.; de Silva, F.; Piro, A.; Parisi, F.; Sica, S.; Silvestri, F.; Cattari, S.			Numerical simulation of the seismic response and soil-structure interaction for a monitored masonry school building damaged by the 2016 Central Italy earthquake	BULLETIN OF EARTHQUAKE ENGINEERING																	Cattari, Serena/AAD-6007-2021; Parisi, Fulvio/C-7457-2011	Parisi, Fulvio/0000-0002-1374-0732; DE SILVA, FILOMENA/0000-0003-3509-4281; Piro, Annachiara/0000-0002-1804-5755; Cattari, Serena/0000-0001-9459-5989; Brunelli, Andrea/0000-0002-5505-1521												1570-761X	1573-1456				JAN	2021	19	2					1181	1211		10.1007/s10518-020-00980-3		NOV 2020						WOS:000588855900001						
J	Dodd, T; Yan, CL; Ivanov, I				Dodd, Thomas; Yan, Chunli; Ivanov, Ivaylo			Simulation-Based Methods for Model Building and Refinement in Cryoelectron Microscopy	JOURNAL OF CHEMICAL INFORMATION AND MODELING																	Ivanov, Ivaylo/A-7613-2013	Ivanov, Ivaylo/0000-0002-5306-1005												1549-9596	1549-960X				MAY 26	2020	60	5					2470	2483		10.1021/acs.jcim.0c00087								WOS:000537653400011	32202798					
J	Pei, JS; Carboni, B; Lacarbonara, W				Pei, Jin-Song; Carboni, Biagio; Lacarbonara, Walter			Mem-models as building blocks for simulation and identification of hysteretic systems	NONLINEAR DYNAMICS																	Carboni, Biagio/AAZ-8455-2021	CARBONI, Biagio/0000-0001-6678-8775; Pei, Jin-Song/0000-0002-1042-1859												0924-090X	1573-269X				APR	2020	100	2					973	998		10.1007/s11071-020-05542-5		MAR 2020						WOS:000517722200001						
J	Abuimara, T; O'Brien, W; Gunay, B; Carrizo, JS				Abuimara, Tareq; O'Brien, William; Gunay, Burak; Carrizo, Juan Sebastian			Towards occupant-centric simulation-aided building design: a case study	BUILDING RESEARCH AND INFORMATION																	O'Brien, William/E-5475-2018	O'Brien, William/0000-0002-0236-5383												0961-3218	1466-4321				NOV 17	2019	47	8					866	882		10.1080/09613218.2019.1652550								WOS:000482952000001						
J	Xiong, C; Huang, J; Lu, XZ				Xiong, Chen; Huang, Jin; Lu, Xinzheng			Framework for city-scale building seismic resilience simulation and repair scheduling with labor constraints driven by time-history analysis	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING																	Lu, Xinzheng/A-4315-2012; Lu, Xinzheng/AAP-1024-2021	Lu, Xinzheng/0000-0002-3313-7420; Lu, Xinzheng/0000-0002-3313-7420; Xiong, Chen/0000-0002-3445-6706												1093-9687	1467-8667				APR	2020	35	4					322	341		10.1111/mice.12496		SEP 2019						WOS:000486461300001						
J	Andrio, P; Hospital, A; Conejero, J; Jorda, L; Del Pino, M; Codo, L; Soiland-Reyes, S; Goble, C; Lezzi, D; Badia, RM; Orozco, M; Gelpi, JL				Andrio, Pau; Hospital, Adam; Conejero, Javier; Jorda, Luis; Del Pino, Marc; Codo, Laia; Soiland-Reyes, Stian; Goble, Carole; Lezzi, Daniele; Badia, Rosa M.; Orozco, Modesto; Gelpi, Josep Ll.			BioExcel Building Blocks, a software library for interoperable biomolecular simulation workflows	SCIENTIFIC DATA																	Badia, Rosa M/L-1980-2014; Soiland-Reyes, Stian/I-3743-2013; Conejero, Javier/H-5881-2015; Lezzi, Daniele/G-8757-2015; Andrio, Pau/R-9085-2018	Badia, Rosa M/0000-0003-2941-5499; Soiland-Reyes, Stian/0000-0001-9842-9718; Jorda, Luis/0000-0002-9407-9703; Conejero, Javier/0000-0001-6401-6229; Lezzi, Daniele/0000-0001-5081-7244; Andrio, Pau/0000-0003-2116-3880													2052-4463				SEP 10	2019	6								169	10.1038/s41597-019-0177-4								WOS:000486078700001	31506435					
J	Beausoleil-Morrison, I				Beausoleil-Morrison, Ian			Learning the fundamentals of building performance simulation through an experiential teaching approach	JOURNAL OF BUILDING PERFORMANCE SIMULATION																														1940-1493	1940-1507				MAY 4	2019	12	3			SI		308	325		10.1080/19401493.2018.1479773								WOS:000460179200005						
J	Endo, N; Shimoda, E; Goshome, K; Yamane, T; Nozu, T; Maeda, T				Endo, Naruki; Shimoda, Eisuke; Goshome, Kiyotaka; Yamane, Toshihiro; Nozu, Tsuyoshi; Maeda, Tetsuhiko			Simulation of design and operation of hydrogen energy utilization system for a zero emission building	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY																	ENDO, Naruki/M-4295-2018	ENDO, Naruki/0000-0003-4727-3586												0360-3199	1879-3487				MAR 15	2019	44	14					7118	7124		10.1016/j.ijhydene.2019.01.232								WOS:000462102000008						
J	Chakraborty, D; Elzarka, H				Chakraborty, Debaditya; Elzarka, Hazem			Advanced machine learning techniques for building performance simulation: a comparative analysis	JOURNAL OF BUILDING PERFORMANCE SIMULATION																		Elzarka, Hazem/0000-0003-2845-4568												1940-1493	1940-1507				MAR 4	2019	12	2					193	207		10.1080/19401493.2018.1498538								WOS:000454664700006						
J	Petrou, G; Mavrogianni, A; Symonds, P; Mylona, A; Virk, D; Raslan, R; Davies, M				Petrou, Giorgos; Mavrogianni, Anna; Symonds, Phil; Mylona, Anastasia; Virk, Dane; Raslan, Rokia; Davies, Mike			Can the choice of building performance simulation tool significantly alter the level of predicted indoor overheating risk in London flats?	BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY																		Petrou, Giorgos/0000-0002-1524-2681; Symonds, Phil/0000-0002-6290-5417; Davies, Michael/0000-0003-2173-7063; Mavrogianni, Anna/0000-0002-5104-1238; Raslan, Rokia/0000-0003-3157-4843												0143-6244	1477-0849				JAN	2019	40	1					30	46		10.1177/0143624418792340								WOS:000454092700003						
