PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Arashpour, M; Ngo, T; Li, H				Arashpour, Mehrdad; Tuan Ngo; Li, Heng			Scene understanding in construction and buildings using image processing methods: A comprehensive review and a case study	JOURNAL OF BUILDING ENGINEERING																	Ngo, Tuan D/P-8184-2014; Li, Heng/B-2821-2015	Ngo, Tuan D/0000-0002-9831-8580; Li, Heng/0000-0002-3187-9041													2352-7102				JAN	2021	33								101672	10.1016/j.jobe.2020.101672								WOS:000620656200049						
J	Wasim, M; Han, TM; Huang, HR; Madiyev, M; Ngo, TD				Wasim, Muhammad; Han, Thomas Michael; Huang, Haoran; Madiyev, Miras; Ngo Tuan Duc			An approach for sustainable, cost-effective and optimised material design for the prefabricated non-structural components of residential buildings	JOURNAL OF BUILDING ENGINEERING																	Ngo, Tuan D/P-8184-2014	Ngo, Tuan D/0000-0002-9831-8580												2352-7102					NOV	2020	32								101474	10.1016/j.jobe.2020.101474								WOS:000588052000116						
J	Tan, Y; Li, SL; Wang, Q				Tan, Yi; Li, Silin; Wang, Qian			Automated Geometric Quality Inspection of Prefabricated Housing Units Using BIM and LiDAR	REMOTE SENSING																	Wang, Qian/N-8410-2017	Wang, Qian/0000-0003-3175-334X; Tan, Yi/0000-0001-8902-4778													2072-4292				AUG	2020	12	15							2492	10.3390/rs12152492								WOS:000567238600001						
J	Guo, JJ; Wang, Q; Park, JH				Guo, Jingjing; Wang, Qian; Park, Jae-Hyuk			Geometric quality inspection of prefabricated MEP modules with 3D laser scanning	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017; Guo, Jingjing/AAG-8586-2020	Wang, Qian/0000-0003-3175-334X; Guo, Jingjing/0000-0003-2047-6703												0926-5805	1872-7891				MAR	2020	111								103053	10.1016/j.autcon.2019.103053								WOS:000513989400007						
J	Puri, N; Turkan, Y				Puri, Nisha; Turkan, Yelda			Bridge construction progress monitoring using lidar and 4D design models	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				JAN	2020	109								102961	10.1016/j.autcon.2019.102961								WOS:000501617300004						
J	Maalek, R; Lichti, DD; Walker, R; Bhavnani, A; Ruwanpura, JY				Maalek, Reza; Lichti, Derek D.; Walker, Ryan; Bhavnani, Adam; Ruwanpura, Janaka Y.			Extraction of pipes and flanges from point clouds for automated verification of pre-fabricated modules in oil and gas refinery projects	AUTOMATION IN CONSTRUCTION																	Maalek, Reza/S-7943-2019; Maalek, Reza/AAF-8299-2021	Maalek, Reza/0000-0001-6825-2691												0926-5805	1872-7891				JUL	2019	103						150	167		10.1016/j.autcon.2019.03.013								WOS:000466828500011						
J	Yin, XF; Liu, HX; Chen, Y; Al-Hussein, M				Yin, Xianfei; Liu, Hexu; Chen, Yuan; Al-Hussein, Mohamed			Building information modelling for off-site construction: Review and future directions	AUTOMATION IN CONSTRUCTION																	Liu, Hexu/ABH-1963-2020; Yin, Xianfei/AAK-4041-2020; Bagga, Ankit/AAG-8019-2021; Liu, Hexu/ABG-9319-2020	Yin, Xianfei/0000-0001-8270-8632; Liu, Hexu/0000-0002-5397-9369; Al-Hussein, Mohamed/0000-0002-1774-9718												0926-5805	1872-7891				MAY	2019	101						72	91		10.1016/j.autcon.2019.01.010								WOS:000461130000006						
J	Ferdous, W; Bai, Y; Ngo, TD; Manalo, A; Mendis, P				Ferdous, Wahid; Bai, Yu; Tuan Duc Ngo; Manalo, Allan; Mendis, Priyan			New advancements, challenges and opportunities of multi-storey modular buildings - A state-of-the-art review	ENGINEERING STRUCTURES																	Ngo, Tuan D/P-8184-2014; Ferdous, Wahid/X-4699-2019; Ferdous, Wahid/J-8140-2015	Ngo, Tuan D/0000-0002-9831-8580; Bai, Yu/0000-0002-0742-0708; Ferdous, Wahid/0000-0002-4473-4722; Mendis, Priyan/0000-0003-4068-8201												0141-0296	1873-7323				MAR 15	2019	183						883	893		10.1016/j.engstruct.2019.01.061								WOS:000462690000064						
J	Tran, H; Khoshelham, K; Kealy, A				Tran, H.; Khoshelham, K.; Kealy, A.			Geometric comparison and quality evaluation of 3D models of indoor environments	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Kealy, Allison/C-6082-2014	Kealy, Allison/0000-0002-6776-3411												0924-2716	1872-8235				MAR	2019	149						29	39		10.1016/j.isprsjprs.2019.01.012								WOS:000461535600003						
J	Navaratnam, S; Ngo, T; Gunawardena, T; Henderson, D				Navaratnam, Satheeskumar; Tuan Ngo; Gunawardena, Tharaka; Henderson, David			Performance Review of Prefabricated Building Systems and Future Research in Australia	BUILDINGS																	Navaratnam, Satheeskumar/ABF-6098-2020; Henderson, David J/I-5225-2013; Gunawardena, Tharaka/F-6664-2015; Ngo, Tuan D/P-8184-2014	Navaratnam, Satheeskumar/0000-0001-7772-4531; Henderson, David J/0000-0003-2534-3985; Gunawardena, Tharaka/0000-0001-6958-1470; Ngo, Tuan D/0000-0002-9831-8580													2075-5309				FEB	2019	9	2							38	10.3390/buildings9020038								WOS:000460701500011						
J	Zolanvari, SMI; Laefer, DF; Natanzi, AS				Zolanvari, S. M. Iman; Laefer, Debra F.; Natanzi, Atteyeh S.			Three-dimensional building facade segmentation and opening area detection from point clouds	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Laefer, Debra F/R-1390-2018	Laefer, Debra F/0000-0001-5134-5322												0924-2716	1872-8235				SEP	2018	143						134	149		10.1016/j.isprsjprs.2018.04.004								WOS:000442709900012						
J	Nguyen, CHP; Choi, Y				Nguyen, Cong Hong Phong; Choi, Young			Comparison of point cloud data and 3D CAD data for on-site dimensional inspection of industrial plant piping systems	AUTOMATION IN CONSTRUCTION																		Nguyen, Phong Cong Hong/0000-0002-8660-9866												0926-5805	1872-7891				JUL	2018	91						44	52		10.1016/j.autcon.2018.03.008								WOS:000431470100004						
J	Kim, MK; Wang, Q; Park, JW; Cheng, JCP; Sohn, H; Chang, CC				Kim, Min-Koo; Wang, Qian; Park, Joon-Woo; Cheng, Jack C. P.; Sohn, Hoon; Chang, Chih-Chen			Automated dimensional quality assurance of full-scale precast concrete elements using laser scanning and BIM	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017; Kim, Minkoo/O-4727-2017; Sohn, Hoon/A-9406-2008	Wang, Qian/0000-0003-3175-334X; Kim, Minkoo/0000-0003-2134-0031; Sohn, Hoon/0000-0001-9337-6653; Wang, Qian/0000-0002-8892-0244												0926-5805	1872-7891				DEC	2016	72		2				102	114		10.1016/j.autcon.2016.08.035								WOS:000390722100004						
J	Wang, Q; Kim, MK; Cheng, JCP; Sohn, H				Wang, Qian; Kim, Min-Koo; Cheng, Jack C. P.; Sohn, Hoon			Automated quality assessment of precast concrete elements with geometry irregularities using terrestrial laser scanning	AUTOMATION IN CONSTRUCTION																	Kim, Minkoo/O-4727-2017; Wang, Qian/N-8410-2017; Sohn, Hoon/A-9406-2008	Kim, Minkoo/0000-0003-2134-0031; Wang, Qian/0000-0003-3175-334X; Sohn, Hoon/0000-0001-9337-6653; Wang, Qian/0000-0002-8892-0244												0926-5805	1872-7891				AUG	2016	68						170	182		10.1016/j.autcon.2016.03.014								WOS:000379371100015						
J	Khoshelham, K				Khoshelham, Kourosh			Closed-form solutions for estimating a rigid motion from plane correspondences extracted from point clouds	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Khoshelham, Kourosh/A-3789-2010; Khoshelham, Kourosh/H-6079-2019	Khoshelham, Kourosh/0000-0001-6639-1727; 												0924-2716	1872-8235				APR	2016	114						78	91		10.1016/j.isprsjprs.2016.01.010								WOS:000374707800008						
J	Patraucean, V; Armeni, I; Nahangi, M; Yeung, JM; Brilakis, I; Haas, C				Patraucean, Viorica; Armeni, Iro; Nahangi, Mohammad; Yeung, Jamie; Brilakis, Ioannis; Haas, Carl			State of research in automatic as-built modelling	ADVANCED ENGINEERING INFORMATICS																	Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083												1474-0346	1873-5320				APR	2015	29	2					162	171		10.1016/j.aei.2015.01.001								WOS:000355038200003						
J	Bosche, F; Ahmed, M; Turkan, Y; Haas, CT; Haas, R				Bosche, Frederic; Ahmed, Mahmoud; Turkan, Yelda; Haas, Carl T.; Haas, Ralph			The value of integrating Scan-to-BIM and Scan-vs-BIM techniques for construction monitoring using laser scanning and BIM: The case of cylindrical MEP components	AUTOMATION IN CONSTRUCTION					30th International Symposium on Automation and Robotics in Construction (ISARC)	AUG 11-15, 2013	Montreal, CANADA										Bosché, Frédéric/AAJ-9117-2020; Ahmed, Mahmoud/T-6792-2019	Bosche, Frederic/0000-0002-4064-8982; Turkan, Yelda/0000-0002-3224-5462												0926-5805	1872-7891				JAN	2015	49		B		SI		201	213		10.1016/j.autcon.2014.05.014								WOS:000347578900004						
J	Golparvar-Fard, M; Pena-Mora, F; Savarese, S				Golparvar-Fard, Mani; Pena-Mora, Feniosky; Savarese, Silvio			Automated Progress Monitoring Using Unordered Daily Construction Photographs and IFC-Based Building Information Models	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				JAN	2015	29	1							04014025	10.1061/(ASCE)CP.1943-5487.0000205								WOS:000346334900004						
J	Awrangjeb, M; Fraser, CS				Awrangjeb, Mohammad; Fraser, Clive S.			An Automatic and Threshold-Free Performance Evaluation System for Building Extraction Techniques From Airborne LIDAR Data	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING																	Fraser, Clive/P-6021-2019; Awrangjeb, Mohammad/N-3387-2016	Awrangjeb, Mohammad/0000-0002-2711-4329												1939-1404	2151-1535				OCT	2014	7	10			SI		4184	4198		10.1109/JSTARS.2014.2318694								WOS:000346977200017						
J	Kim, MK; Sohn, H; Chang, CC				Kim, Min-Koo; Sohn, Hoon; Chang, Chih-Chen			Automated dimensional quality assessment of precast concrete panels using terrestrial laser scanning	AUTOMATION IN CONSTRUCTION																	Kim, Minkoo/O-4727-2017; Sohn, Hoon/A-9406-2008	Kim, Minkoo/0000-0003-2134-0031; Chang, Chih-chen/0000-0001-9345-7728; Sohn, Hoon/0000-0001-9337-6653												0926-5805	1872-7891				SEP	2014	45						163	177		10.1016/j.autcon.2014.05.015								WOS:000347745800016						
J	Fathi, H; Brilakis, I				Fathi, Habib; Brilakis, Ioannis			A videogrammetric as-built data collection method for digital fabrication of sheet metal roof panels	ADVANCED ENGINEERING INFORMATICS																	Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083												1474-0346	1873-5320				OCT	2013	27	4					466	476		10.1016/j.aei.2013.04.006								WOS:000328525700006						
J	Linh, TH; Laefer, DF; Hinks, T; Carr, H				Linh Truong-Hong; Laefer, Debra F.; Hinks, Tommy; Carr, Hamish			Flying Voxel Method with Delaunay Triangulation Criterion for Facade/Feature Detection for Computation	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Laefer, Debra F/R-1390-2018; Truong-Hong, Linh/E-7085-2011	Laefer, Debra F/0000-0001-5134-5322; Truong-Hong, Linh/0000-0003-2126-6409												0887-3801	1943-5487				NOV-DEC	2012	26	6					691	707		10.1061/(ASCE)CP.1943-5487.0000188								WOS:000313292800002						
