PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Li, DR; Ma, J; Cheng, T; van Genderen, JL; Shao, ZF				Li, Deren; Ma, Jun; Cheng, Tao; van Genderen, J. L.; Shao, Zhenfeng			Challenges and opportunities for the development of MEGACITIES	INTERNATIONAL JOURNAL OF DIGITAL EARTH																														1753-8947	1753-8955				DEC 2	2019	12	12					1382	1395		10.1080/17538947.2018.1512662								WOS:000498765400001						
J	Deibe, D; Amor, M; Doallo, R				Deibe, David; Amor, Margarita; Doallo, Ramon			Supporting multi-resolution out-of-core rendering of massive LiDAR point clouds through non-redundant data structures	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE																	; Amor, Margarita/O-9232-2015	Deibe Seoane, David/0000-0001-7818-6341; Doallo, Ramon/0000-0002-6011-3387; Amor, Margarita/0000-0003-4641-7891												1365-8816	1362-3087				MAR 4	2019	33	3					593	617		10.1080/13658816.2018.1549734								WOS:000454832600008						
J	Yang, B; Lee, J				Yang, Byungyun; Lee, Jungil			Improving accuracy of automated 3-D building models for smart cities	INTERNATIONAL JOURNAL OF DIGITAL EARTH																														1753-8947	1753-8955				FEB 1	2019	12	2			SI		209	227		10.1080/17538947.2017.1395089								WOS:000456500200007						
J	Hruby, F; Ressl, R; del Valle, GD				Hruby, Florian; Ressl, Rainer; de la Borbolla del Valle, Genghis			Geovisualization with immersive virtual environments in theory and practice	INTERNATIONAL JOURNAL OF DIGITAL EARTH																		Hruby, Florian/0000-0003-2531-1764												1753-8947	1753-8955				FEB 1	2019	12	2			SI		123	136		10.1080/17538947.2018.1501106								WOS:000456500200002						
J	Tong, XC; Cheng, CQ; Wang, R; Ding, L; Zhang, Y; Lai, GL; Wang, L; Chen, B				Tong, Xiaochong; Cheng, Chengqi; Wang, Rong; Ding, Lu; Zhang, Yong; Lai, Guangling; Wang, Lin; Chen, Bo			An efficient integer coding index algorithm for multi-scale time information management	DATA & KNOWLEDGE ENGINEERING																	Bo, Chen/D-3383-2017	Bo, Chen/0000-0001-7495-8885												0169-023X	1872-6933				JAN	2019	119						123	138		10.1016/j.datak.2019.01.003								WOS:000461727400008						
J	Li, D; Patlas, M; Mclean, K; Duszak, R				Li, David; Patlas, Michael; Mclean, Kristopher; Duszak, Richard			Relative diagnostic utility of radiologist-recommended abdominal ultrasound following emergency department abdominal and pelvic computed tomography	ABDOMINAL RADIOLOGY																	Li, David/AAY-4920-2020; Duszak, Richard/L-1811-2016	Duszak, Richard/0000-0003-0425-3008												2366-004X	2366-0058				NOV	2018	43	11					3176	3183		10.1007/s00261-018-1576-2								WOS:000448455700034	29582124					
J	Liang, JM; Gong, JH				Liang, Jianming; Gong, Jianhua			A Sparse Voxel Octree-Based Framework for Computing Solar Radiation Using 3D City Models	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Liang, Jianming/X-8241-2019	Liang, Jianming/0000-0002-4043-6816													2220-9964				APR	2017	6	4							106	10.3390/ijgi6040106								WOS:000404525000015						
J	Berg, LP; Vance, JM				Berg, Leif P.; Vance, Judy M.			Industry use of virtual reality in product design and manufacturing: a survey	VIRTUAL REALITY																														1359-4338	1434-9957				MAR	2017	21	1					1	17		10.1007/s10055-016-0293-9								WOS:000396119000001						
C	Yamamura, S; Fan, LY; Suzuki, Y		Ding, L; Fiorito, F; Osmond, P		Yamamura, Shinji; Fan, Liyang; Suzuki, Yoshiyasu			Assessment of urban energy performance through integration of BIM and GIS for smart city planning	INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016	Procedia Engineering				International High-Performance Built Environment Conference (iHBE)	NOV 17-18, 2016	Sydney, AUSTRALIA	UNSW Built Environm, CRC Low Carbon Living, UrbanGrowth NSW																						1877-7058						2017	180						1462	1472		10.1016/j.proeng.2017.04.309								WOS:000404873600152						
J	Atazadeh, B; Kalantari, M; Rajabifard, A; Ho, S; Champion, T				Atazadeh, Behnam; Kalantari, Mohsen; Rajabifard, Abbas; Ho, Serene; Champion, Tom			Extending a BIM-based data model to support 3D digital management of complex ownership spaces	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE																	Atazadeh, Behnam/K-8913-2018; Rajabifard, Abbas/D-1818-2015; Kalantari, Mohsen/I-8581-2014	Atazadeh, Behnam/0000-0001-9295-4220; Ho, Serene/0000-0002-0652-6279; Rajabifard, Abbas/0000-0002-4256-3173; Kalantari, Mohsen/0000-0002-6650-5218												1365-8816	1362-3087					2017	31	3					499	522		10.1080/13658816.2016.1207775								WOS:000392593400005						
J	Jian, HD; Liao, JJ; Fan, XT; Xue, ZX				Jian, Hongdeng; Liao, Jingjuan; Fan, Xiangtao; Xue, Zhuxin			Augmented virtual environment: fusion of real-time video and 3D models in the digital earth system	INTERNATIONAL JOURNAL OF DIGITAL EARTH																		liao, jing juan/0000-0002-5915-2661												1753-8947	1753-8955					2017	10	12					1177	1196		10.1080/17538947.2017.1306126								WOS:000419820200001						
J	Hashem, IAT; Chang, V; Anuar, NB; Adewole, K; Yaqoob, I; Gani, A; Ahmed, E; Chiroma, H				Hashem, Ibrahim Abaker Targio; Chang, Victor; Anuar, Nor Badrul; Adewole, Kayode; Yaqoob, Ibrar; Gani, Abdullah; Ahmed, Ejaz; Chiroma, Haruna			The role of big data in smart city	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT																	Chang, Victor/AAC-7582-2019; Anuar, Nor Badrul/B-3101-2010; Yaqoob, Ibrar/ABE-3344-2020; Gani, Abdullah/C-2888-2009; Ahmed, Ejaz/E-8583-2011; Jeong, Yongwook/N-7413-2016; Adewole, Kayode/AAI-1852-2019; Hashem, Ibrahim Abaker Targio/AAP-1204-2020	Chang, Victor/0000-0002-8012-5852; Anuar, Nor Badrul/0000-0003-4380-5303; Yaqoob, Ibrar/0000-0002-8438-3429; Gani, Abdullah/0000-0002-4388-020X; Adewole, Kayode/0000-0002-0155-7949; Hashem, Ibrahim Abaker Targio/0000-0001-7611-9540												0268-4012	1873-4707				OCT	2016	36	5					748	758		10.1016/j.ijinfomgt.2016.05.002								WOS:000383825800007						
J	Su, YT; Bethel, J; Hu, SW				Su, Yun-Ting; Bethel, James; Hu, Shuowen			Octree-based segmentation for terrestrial LiDAR point cloud data in industrial applications	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																														0924-2716	1872-8235				MAR	2016	113						59	74		10.1016/j.isprsjprs.2016.01.001								WOS:000371555000005						
J	Guo, HD				Guo Huadong			Digital Earth and Future Earth	INTERNATIONAL JOURNAL OF DIGITAL EARTH																														1753-8947	1753-8955				JAN 2	2016	9	1					1	2		10.1080/17538947.2015.1135667								WOS:000370662200001						
J	Duan, QS; Gong, JH; Li, WH; Shen, S; Li, R				Duan, Qishen; Gong, Jianhua; Li, Wenhang; Shen, Shen; Li, Rong			Improved Cubemap model for 3D navigation in geo-virtual reality	INTERNATIONAL JOURNAL OF DIGITAL EARTH																	Matthews, Linda/G-6178-2016	Matthews, Linda/0000-0002-2804-940X												1753-8947	1753-8955				NOV 2	2015	8	11					877	900		10.1080/17538947.2014.947339								WOS:000361980500002						
J	Jung, H; Kim, YS; Chung, YD				Jung, HaRim; Kim, Yong Sung; Chung, Yon Dohn			QR-tree: An efficient and scalable method for evaluation of continuous range queries	INFORMATION SCIENCES																														0020-0255	1872-6291				AUG 1	2014	274						156	176		10.1016/j.ins.2014.02.061								WOS:000336706000010						
J	Zhang, LQ; Han, CM; Zhang, L; Zhang, XK; Li, J				Zhang, Liqiang; Han, Chunming; Zhang, Liang; Zhang, Xiaokun; Li, Jonathan			Web-based visualization of large 3D urban building models	INTERNATIONAL JOURNAL OF DIGITAL EARTH																	Li, Jonathan/AAA-7712-2021; Han, chunming/AAF-7873-2019	LI, Jonathan/0000-0001-7899-0049												1753-8947	1753-8955				JAN 2	2014	7	1					53	67		10.1080/17538947.2012.667159								WOS:000329824100005						
J	Tong, XC; Ben, J; Wang, Y; Zhang, YS; Pei, T				Tong, Xiaochong; Ben, Jin; Wang, Ying; Zhang, Yongsheng; Pei, Tao			Efficient encoding and spatial operation scheme for aperture 4 hexagonal discrete global grid system	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE																														1365-8816	1362-3087				MAY 1	2013	27	5					898	921		10.1080/13658816.2012.725474								WOS:000319047600004						
J	Goswami, P; Erol, F; Mukhi, R; Pajarola, R; Gobbetti, E				Goswami, Prashant; Erol, Fatih; Mukhi, Rahul; Pajarola, Renato; Gobbetti, Enrico			An efficient multi-resolution framework for high quality interactive rendering of massive point clouds using multi-way kd-trees	VISUAL COMPUTER																	Gobbetti, Enrico/O-2188-2015	Gobbetti, Enrico/0000-0003-0831-2458; Pajarola, Renato/0000-0002-6724-526X												0178-2789	1432-2315				JAN	2013	29	1					69	83		10.1007/s00371-012-0675-2								WOS:000313063400006						
J	Homainejad, AS				Homainejad, Amir Saeed			A novel approach for constructing a 3D model based on registering a mono image on a 3D model, applicable in Digital Earth	INTERNATIONAL JOURNAL OF DIGITAL EARTH																														1753-8947	1753-8955					2012	5	2					91	105		10.1080/17538947.2011.579396								WOS:000300933800001						
J	Chew, BS; Chau, LP; He, Y; Wang, DY; Hoi, SCH				Chew, Boon-Seng; Chau, Lap-Pui; He, Ying; Wang, Dayong; Hoi, Steven C. H.			Spectral Geometry Image: Image Based 3D Models for Digital Broadcasting Applications	IEEE TRANSACTIONS ON BROADCASTING																	He, Ying/A-3708-2011; HOI, Steven C. H./A-3736-2011	He, Ying/0000-0002-6749-4485; Hoi, Steven/0000-0002-4584-3453; Wang, Dayong/0000-0002-5904-6156; Chau, Lap-Pui/0000-0003-4932-0593												0018-9316	1557-9611				SEP	2011	57	3					636	645		10.1109/TBC.2011.2151590								WOS:000294168900003						
