PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ruggeri, AG; Gabrielli, L; Scarpa, M				Ruggeri, Aurora Greta; Gabrielli, Laura; Scarpa, Massimiliano			Energy Retrofit in European Building Portfolios: A Review of Five Key Aspects	SUSTAINABILITY																		GABRIELLI, LAURA/0000-0001-7233-6935; RUGGERI, AURORA/0000-0003-1071-3269													2071-1050				SEP	2020	12	18							7465	10.3390/su12187465								WOS:000584323500001						
J	Lorenzo-Saez, E; Oliver-Villanueva, JV; Coll-Aliaga, E; Lemus-Zuniga, LG; Lerma-Arce, V; Reig-Fabado, A				Lorenzo-Saez, Edgar; Jose-Vicente Oliver-Villanueva; Coll-Aliaga, Eloina; Lemus-Zuniga, Lenin-Guillermo; Lerma-Arce, Victoria; Reig-Fabado, Antonio			Energy Efficiency and GHG Emissions Mapping of Buildings for Decision-Making Processes against Climate Change at the Local Level	SUSTAINABILITY																	Coll, Eloina/AAA-3441-2021; Lemus-Zuniga, Lenin-Guillermo/C-4413-2015; Coll Aliaga, Eloina/I-8882-2016	Lorenzo Saez, Edgar/0000-0003-3766-1198; Lemus-Zuniga, Lenin-Guillermo/0000-0002-6361-6019; Oliver-Villanueva, Jose-Vicente/0000-0003-2842-7834; Coll Aliaga, Eloina/0000-0001-8938-9216; Lerma-Arce, Victoria/0000-0002-0433-7204													2071-1050				APR	2020	12	7							2982	10.3390/su12072982								WOS:000531558100407						
