PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Qi, QL; Tao, F; Hu, TL; Anwer, N; Liu, A; Wei, YL; Wang, LH; Nee, AYC				Qi, Qinglin; Tao, Fei; Hu, Tianliang; Anwer, Nabil; Liu, Ang; Wei, Yongli; Wang, Lihui; Nee, A. Y. C.			Enabling technologies and tools for digital twin	JOURNAL OF MANUFACTURING SYSTEMS																	anwer, nabil/AAG-3942-2019; ANWER, NABIL/C-8538-2015; Qi, Qinglin/N-3496-2018; Wang, Lihui/O-3907-2014	anwer, nabil/0000-0002-0771-4685; ANWER, NABIL/0000-0002-0771-4685; Qi, Qinglin/0000-0002-3247-0440; Wang, Lihui/0000-0001-8679-8049												0278-6125	1878-6642				JAN	2021	58		B		SI		3	21		10.1016/j.jmsy.2019.10.001								WOS:000631746800002						
J	Cao, B; Zhang, ZH; Feng, DQ; Zhang, SL; Zhang, L; Peng, MG; Li, Y				Cao, Bin; Zhang, Zhenghui; Feng, Daquan; Zhang, Shengli; Zhang, Lei; Peng, Mugen; Li, Yun			Performance analysis and comparison of PoW, PoS and DAG based blockchains	DIGITAL COMMUNICATIONS AND NETWORKS																	peng, mugen/D-3023-2012	peng, mugen/0000-0002-4755-7231; Zhang, Lei/0000-0002-4767-3849												2468-5925	2352-8648				NOV	2020	6	4					480	485		10.1016/j.dcan.2019.12.001								WOS:000599751800008						
J	Tapas, N; Longo, F; Merlino, G; Puliafito, A				Tapas, Nachiket; Longo, Francesco; Merlino, Giovanni; Puliafito, Antonio			Experimenting with smart contracts for access control and delegation in IoT	FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE																	Merlino, Giovanni/I-3169-2019; Tapas, Nachiket/S-3711-2019; Longo, Francesco/E-6213-2013	Merlino, Giovanni/0000-0002-1469-7860; Longo, Francesco/0000-0001-6299-140X												0167-739X	1872-7115				OCT	2020	111						324	338		10.1016/j.future.2020.04.020								WOS:000541155100025						
J	Battisti, E; Shams, SMR; Sakka, G; Miglietta, N				Battisti, Enrico; Shams, S. M. Riad; Sakka, Georgia; Miglietta, Nicola			Big data and risk management in business processes: implications for corporate real estate	BUSINESS PROCESS MANAGEMENT JOURNAL																														1463-7154	1758-4116				SEP 7	2020	26	5			SI		1141	1155		10.1108/BPMJ-03-2019-0125								WOS:000589601700010						
J	Davidson, J; Fowler, J; Pantazis, C; Sannino, M; Walker, J; Sheikhkhoshkar, M; Rahimian, FP				Davidson, Jordan; Fowler, John; Pantazis, Charalampos; Sannino, Massimo; Walker, Jordan; Sheikhkhoshkar, Moslem; Rahimian, Farzad Pour			Integration of VR with BIM to facilitate real-time creation of bill of quantities during the design phase: a proof of concept study	FRONTIERS OF ENGINEERING MANAGEMENT																	Sheikhkhoshkar, Moslem/H-1979-2018	Sheikhkhoshkar, Moslem/0000-0001-9067-2705												2095-7513	2096-0255				SEP	2020	7	3					396	403		10.1007/s42524-019-0039-y								WOS:000557927400007						
J	Ghosh, A; Edwards, DJ; Hosseini, MR				Ghosh, Arka; Edwards, David John; Hosseini, M. Reza			Patterns and trends in Internet of Things (IoT) research: future applications in the construction industry	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT																	Ghosh, Arka/AAI-6308-2021; Hosseini, M. Reza/AAA-4859-2021	Ghosh, Arka/0000-0002-8601-2613; Hosseini, M. Reza/0000-0001-8675-736X; Edwards, David/0000-0001-9727-6000												0969-9988	1365-232X				FEB 16	2021	28	2			SI		457	481		10.1108/ECAM-04-2020-0271		AUG 2020						WOS:000563585100001						
J	Hunhevicz, JJ; Hall, DM				Hunhevicz, Jens J.; Hall, Daniel M.			Do you need a blockchain in construction? Use case categories and decision framework for DLT design options	ADVANCED ENGINEERING INFORMATICS																	Hall, Daniel/ABB-5310-2020	Hall, Daniel/0000-0002-0957-484X; Hunhevicz, Jens Juri/0000-0002-1296-2384												1474-0346	1873-5320				AUG	2020	45								101094	10.1016/j.aei.2020.101094								WOS:000552715300002						
J	Nysveen, H; Pedersen, PE; Skard, S				Nysveen, Herbjorn; Pedersen, Per E.; Skard, Siv			Ecosystem adoption of practices over time (EAPT): Toward an alternative view of contemporary technology adoption	JOURNAL OF BUSINESS RESEARCH																		Skard, Siv/0000-0002-7754-9494												0148-2963	1873-7978				AUG	2020	116						542	551		10.1016/j.jbusres.2020.01.014								WOS:000541934200050						
J	Tahsien, SM; Karimipour, H; Spachos, P				Tahsien, Syeda Manjia; Karimipour, Hadis; Spachos, Petros			Machine learning based solutions for security of Internet of Things (IoT): A survey	JOURNAL OF NETWORK AND COMPUTER APPLICATIONS																														1084-8045					JUL 1	2020	161								102630	10.1016/j.jnca.2020.102630								WOS:000534307300001						
J	Shojaei, A; Wang, J; Fenner, A				Shojaei, Alireza; Wang, Jun; Fenner, Andriel			Exploring the feasibility of blockchain technology as an infrastructure for improving built asset sustainability	BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT																	Shojaei, Alireza/R-5526-2018	Shojaei, Alireza/0000-0003-3970-0541												2044-124X	2044-1258				JUN 8	2020	10	2			SI		184	199		10.1108/BEPAM-11-2018-0142								WOS:000528882700002						
