PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Hsu, PY; Aurisicchio, M; Angeloudis, P				Hsu, Pei-Yuan; Aurisicchio, Marco; Angeloudis, Panagiotis			Risk-averse supply chain for modular construction projects	AUTOMATION IN CONSTRUCTION																		Angeloudis, Panagiotis/0000-0002-6778-8264												0926-5805	1872-7891				OCT	2019	106								102898	10.1016/j.autcon.2019.102898								WOS:000488136600039						
J	Yin, XF; Liu, HX; Chen, Y; Al-Hussein, M				Yin, Xianfei; Liu, Hexu; Chen, Yuan; Al-Hussein, Mohamed			Building information modelling for off-site construction: Review and future directions	AUTOMATION IN CONSTRUCTION																	Liu, Hexu/ABH-1963-2020; Yin, Xianfei/AAK-4041-2020; Bagga, Ankit/AAG-8019-2021; Liu, Hexu/ABG-9319-2020	Yin, Xianfei/0000-0001-8270-8632; Liu, Hexu/0000-0002-5397-9369; Al-Hussein, Mohamed/0000-0002-1774-9718												0926-5805	1872-7891				MAY	2019	101						72	91		10.1016/j.autcon.2019.01.010								WOS:000461130000006						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
J	Deng, YC; Gan, VJL; Das, M; Cheng, JCP; Anumba, C				Deng, Yichuan; Gan, Vincent J. L.; Das, Moumita; Cheng, Jack C. P.; Anumba, Chimay			Integrating 4D BIM and GIS for Construction Supply Chain Management	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																		Deng, Yichuan/0000-0003-1492-4370												0733-9364	1943-7862				APR	2019	145	4							04019016	10.1061/(ASCE)CO.1943-7862.0001633								WOS:000459638200013						
J	Li, X; Shen, GQ; Wu, P; Yue, T				Li, Xiao; Shen, Geoffrey Qiping; Wu, Peng; Yue, Teng			Integrating Building Information Modeling and Prefabrication Housing Production	AUTOMATION IN CONSTRUCTION																	Li, Xiao/AAG-9786-2021; Shen, Geoffrey Qiping/A-1250-2014	Li, Xiao/0000-0001-9702-4153; Shen, Geoffrey Qiping/0000-0002-3111-2019; wu, peng/0000-0002-3793-0653												0926-5805	1872-7891				APR	2019	100						46	60		10.1016/j.autcon.2018.12.024								WOS:000457951600004						
J	Zheng, RY; Jiang, JL; Hao, XH; Ren, W; Xiong, F; Ren, Y				Zheng, Rongyue; Jiang, Jianlin; Hao, Xiaohan; Ren, Wei; Xiong, Feng; Ren, Yi			bcBIM: A Blockchain-Based Big Data Model for BIM Modification Audit and Provenance in Mobile Cloud	MATHEMATICAL PROBLEMS IN ENGINEERING																	Ren, Wei/P-1369-2018	Ren, Wei/0000-0001-8590-1737												1024-123X	1563-5147					2019	2019								5349538	10.1155/2019/5349538								WOS:000463545200001						
J	Dave, B; Buda, A; Nurminen, A; Framling, K				Dave, Bhargav; Buda, Andrea; Nurminen, Antti; Framling, Kary			A framework for integrating BIM and IoT through open standards	AUTOMATION IN CONSTRUCTION																	Tang, Llewellyn/AAE-8423-2020; Främling, Kary Å/G-2222-2013; Dave, Bhargav/C-1555-2014	Tang, Llewellyn/0000-0001-8453-5384; Främling, Kary Å/0000-0002-8078-5172; Dave, Bhargav/0000-0003-4228-506X												0926-5805	1872-7891				NOV	2018	95						35	45		10.1016/j.autcon.2018.07.022								WOS:000446286800004						
J	Hwang, BG; Shan, M; Looi, KY				Hwang, Bon-Gang; Shan, Ming; Looi, Kit-Ying			Knowledge-based decision support system for prefabricated prefinished volumetric construction	AUTOMATION IN CONSTRUCTION																	Shan, Ming/K-8967-2019	Shan, Ming/0000-0003-0595-6987												0926-5805	1872-7891				OCT	2018	94						168	178		10.1016/j.autcon.2018.06.016								WOS:000443663900015						
J	Xu, GY; Li, M; Chen, CH; Wei, YC				Xu, Gangyan; Li, Ming; Chen, Chun-Hsien; Wei, Yongchang			Cloud asset-enabled integrated IoT platform for lean prefabricated construction	AUTOMATION IN CONSTRUCTION																	/AAE-3415-2021; Xu, Gangyan/A-2075-2016; Chen, Chun-Hsien/A-3877-2011	Xu, Gangyan/0000-0001-9537-9006; Chen, Chun-Hsien/0000-0003-2193-5270												0926-5805	1872-7891				SEP	2018	93						123	134		10.1016/j.autcon.2018.05.012								WOS:000441687500010						
J	Xue, F; Chen, K; Lu, WS; Niu, YH; Huang, GQ				Xue, Fan; Chen, Ke; Lu, Weisheng; Niu, Yuhan; Huang, G. Q.			Linking radio-frequency identification to Building Information Modeling: Status quo, development trajectory and guidelines for practitioners	AUTOMATION IN CONSTRUCTION																	Huang, George Q/O-9005-2018; Xue, Fan/H-9198-2012; Lu, Wilson/E-2899-2010; CHEN, KE/A-4018-2015	Huang, George Q/0000-0002-2362-6001; Xue, Fan/0000-0003-2217-3693; Lu, Wilson/0000-0003-4674-0357; CHEN, KE/0000-0003-3918-3820; Niu, Yuhan/0000-0002-3461-0769												0926-5805	1872-7891				SEP	2018	93						241	251		10.1016/j.autcon.2018.05.023								WOS:000441687500019						
J	Li, SC; Xu, LD; Zhao, SS				Li, Shancang; Xu, Li Da; Zhao, Shanshan			5G Internet of Things: A survey	JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION																		/0000-0001-5663-7420; LAPA, ANTONIO/0000-0002-5954-5115												2467-964X	2452-414X				JUN	2018	10						1	9		10.1016/j.jii.2018.01.005								WOS:000435175400001						
