PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Kheradmand, M; Abdollahnejad, Z; Pacheco-Torgal, F				Kheradmand, Mohammad; Abdollahnejad, Zahra; Pacheco-Torgal, Fernando			Drying shrinkage of fly ash geopolymeric mortars reinforced with polymer hybrid fibres	PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CONSTRUCTION MATERIALS																	Pacheco-Torgal, F./C-5710-2012	Pacheco-Torgal, F./0000-0001-7767-6787												1747-650X	1747-6518				FEB	2020	173	1					28	40	1600077	10.1680/jcoma.16.00077								WOS:000506222700004						
J	Sepasgozar, SME; Forsythe, P; Shirowzhan, S				Sepasgozar, Samad M. E.; Forsythe, Perry; Shirowzhan, Sara			Evaluation of Terrestrial and Mobile Scanner Technologies for Part-Built Information Modeling	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	SHIROWZHAN, Sara/L-1917-2019; Sepasgozar, Samad/C-1746-2019	SHIROWZHAN, Sara/0000-0003-1511-3617; Sepasgozar, Samad/0000-0003-2568-3111												0733-9364	1943-7862				DEC	2018	144	12							04018110	10.1061/(ASCE)CO.1943-7862.0001574								WOS:000447252900008						
J	Mastali, M; Kinnunen, P; Dalvand, A; Firouz, RM; Illikainen, M				Mastali, M.; Kinnunen, P.; Dalvand, A.; Firouz, R. Mohammadi; Illikainen, M.			Drying shrinkage in alkali-activated binders - A critical review	CONSTRUCTION AND BUILDING MATERIALS																	Kinnunen, Paivo/I-3430-2012; Dalvand, Ahmad/AAW-5462-2021	Kinnunen, Paivo/0000-0001-8490-1890; Mastali, Mohammad/0000-0001-8638-863X; Mohammadi Firouz, Reza/0000-0001-8102-7069												0950-0618	1879-0526				NOV 30	2018	190						533	550		10.1016/j.conbuildmat.2018.09.125								WOS:000451104900048						
J	Golewski, GL				Golewski, Grzegorz Ludwik			An assessment of microcracks in the Interfacial Transition Zone of durable concrete composites with fly ash additives	COMPOSITE STRUCTURES																	Golewski, Grzegorz Ludwik/AAC-1849-2019	Golewski, Grzegorz Ludwik/0000-0001-9325-666X												0263-8223	1879-1085				SEP 15	2018	200						515	520		10.1016/j.compstruct.2018.05.144								WOS:000439466100046						
J	Golewski, GL				Golewski, Grzegorz Ludwik			Evaluation of morphology and size of cracks of the Interfacial Transition Zone (ITZ) in concrete containing fly ash (FA)	JOURNAL OF HAZARDOUS MATERIALS																	Golewski, Grzegorz Ludwik/AAC-1849-2019	Golewski, Grzegorz Ludwik/0000-0001-9325-666X												0304-3894	1873-3336				SEP 5	2018	357						298	304		10.1016/j.jhazmat.2018.06.016								WOS:000440958900032	29902724					
J	Sepasgozar, SME; Davis, SR; Li, H; Luo, XR				Sepasgozar, Samad M. E.; Davis, Steven R.; Li, Heng; Luo, Xianrui			Modeling the Implementation Process for New Construction Technologies: Thematic Analysis Based on Australian and US Practices	JOURNAL OF MANAGEMENT IN ENGINEERING																	Li, Heng/B-2821-2015; Sepasgozar, Samad/C-1746-2019	Li, Heng/0000-0002-3187-9041; Sepasgozar, Samad/0000-0003-2568-3111												0742-597X	1943-5479				MAY	2018	34	3							05018005	10.1061/(ASCE)ME.1943-5479.0000608								WOS:000427961900012						
J	Kheradmand, M; Abdollahnejad, Z; Pacheco-Torgal, F				Kheradmand, M.; Abdollahnejad, Z.; Pacheco-Torgal, F.			Shrinkage Performance of Fly Ash Alkali-activated Cement Based Binder Mortars	KSCE JOURNAL OF CIVIL ENGINEERING																	Kheradmand, Mohammad/M-9165-2014; Pacheco-Torgal, F./C-5710-2012	Kheradmand, Mohammad/0000-0003-3272-7194; Pacheco-Torgal, F./0000-0001-7767-6787												1226-7988	1976-3808				MAY	2018	22	5					1854	1864		10.1007/s12205-017-1714-3								WOS:000431052600032						
J	Abdollahnejad, Z; Mastali, M; Mastali, M; Dalvand, A				Abdollahnejad, Z.; Mastali, M.; Mastali, M.; Dalvand, A.			Comparative Study on the Effects of Recycled Glass-Fiber on Drying Shrinkage Rate and Mechanical Properties of the Self-Compacting Mortar and Fly Ash-Slag Geopolymer Mortar	JOURNAL OF MATERIALS IN CIVIL ENGINEERING																	Dalvand, Ahmad/AAW-5462-2021													0899-1561	1943-5533				AUG	2017	29	8							04017076	10.1061/(ASCE)MT.1943-5533.0001918								WOS:000400522100026						
C	Shirowzhan, S; Trinder, J		Ding, L; Fiorito, F; Osmond, P		Shirowzhan, Sara; Trinder, John			Building classification from Lidar data for spatio-temporal assessment of 3D urban developments	INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016	Procedia Engineering				International High-Performance Built Environment Conference (iHBE)	NOV 17-18, 2016	Sydney, AUSTRALIA	UNSW Built Environm, CRC Low Carbon Living, UrbanGrowth NSW									SHIROWZHAN, Sara/L-1917-2019	SHIROWZHAN, Sara/0000-0003-1511-3617; Trinder, John/0000-0003-0165-5685												1877-7058						2017	180						1453	1461		10.1016/j.proeng.2017.04.308								WOS:000404873600151						
C	Sepasgozaar, SME; Shirowzhan, S; Wang, C		Ding, L; Fiorito, F; Osmond, P		Sepasgozaar, Samad M. E.; Shirowzhan, Sara; Wang, Cynthia (Changxin)			A scanner technology acceptance model for construction projects	INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016	Procedia Engineering				International High-Performance Built Environment Conference (iHBE)	NOV 17-18, 2016	Sydney, AUSTRALIA	UNSW Built Environm, CRC Low Carbon Living, UrbanGrowth NSW									SHIROWZHAN, Sara/L-1917-2019; Sepasgozar, Samad/C-1746-2019; Wang, Changxin C/F-7372-2019	SHIROWZHAN, Sara/0000-0003-1511-3617; Sepasgozar, Samad/0000-0003-2568-3111; Wang, Changxin C/0000-0001-6414-3228												1877-7058						2017	180						1237	1246		10.1016/j.proeng.2017.04.285								WOS:000404873600128						
